date,time,load
2018-01-01,00:00:00,803.2227
2018-01-01,00:15:00,774.89523
2018-01-01,00:30:00,731.46927
2018-01-01,00:45:00,713.9387
2018-01-01,01:00:00,699.2300700000001
2018-01-01,01:15:00,684.3760000000001
2018-01-01,01:30:00,679.3765
2018-01-01,01:45:00,671.2157
2018-01-01,02:00:00,658.39577
2018-01-01,02:15:00,642.9528700000001
2018-01-01,02:30:00,639.4714
2018-01-01,02:45:00,636.94943
2018-01-01,03:00:00,639.89257
2018-01-01,03:15:00,643.0235700000001
2018-01-01,03:30:00,641.13083
2018-01-01,03:45:00,651.4702
2018-01-01,04:00:00,646.83632
2018-01-01,04:15:00,656.3485
2018-01-01,04:30:00,675.39003
2018-01-01,04:45:00,693.3044
2018-01-01,05:00:00,738.09083
2018-01-01,05:15:00,778.0535
2018-01-01,05:30:00,822.30463
2018-01-01,05:45:00,843.64896
2018-01-01,06:00:00,894.7175900000001
2018-01-01,06:15:00,970.6605
2018-01-01,06:30:00,1036.1287
2018-01-01,06:45:00,1105.6773
2018-01-01,07:00:00,1164.2876
2018-01-01,07:15:00,1266.4491
2018-01-01,07:30:00,1334.4322
2018-01-01,07:45:00,1394.2545
2018-01-01,08:00:00,1435.8665
2018-01-01,08:15:00,1455.4403
2018-01-01,08:30:00,1495.7292
2018-01-01,08:45:00,1530.655
2018-01-01,09:00:00,1576.5393
2018-01-01,09:15:00,1597.8907
2018-01-01,09:30:00,1635.1193
2018-01-01,09:45:00,1658.9755
2018-01-01,10:00:00,1664.0457
2018-01-01,10:15:00,1681.1349
2018-01-01,10:30:00,1686.7303
2018-01-01,10:45:00,1644.2093
2018-01-01,11:00:00,1666.1566
2018-01-01,11:15:00,1649.1179
2018-01-01,11:30:00,1634.382
2018-01-01,11:45:00,1603.5467
2018-01-01,12:00:00,1582.5286
2018-01-01,12:15:00,1540.7146
2018-01-01,12:30:00,1504.7081
2018-01-01,12:45:00,1469.5399
2018-01-01,13:00:00,1407.5764
2018-01-01,13:15:00,1348.9964
2018-01-01,13:30:00,1317.2723
2018-01-01,13:45:00,1278.0843
2018-01-01,14:00:00,1255.6421
2018-01-01,14:15:00,1224.7563
2018-01-01,14:30:00,1211.899
2018-01-01,14:45:00,1188.9417
2018-01-01,15:00:00,1162.5504
2018-01-01,15:15:00,1158.9649
2018-01-01,15:30:00,1137.5529
2018-01-01,15:45:00,1119.2921
2018-01-01,16:00:00,1123.9987
2018-01-01,16:15:00,1133.9876
2018-01-01,16:30:00,1127.8973
2018-01-01,16:45:00,1136.3106
2018-01-01,17:00:00,1162.7827
2018-01-01,17:15:00,1189.8406
2018-01-01,17:30:00,1239.3003
2018-01-01,17:45:00,1268.3075
2018-01-01,18:00:00,1291.3557
2018-01-01,18:15:00,1290.8608
2018-01-01,18:30:00,1293.0121
2018-01-01,18:45:00,1272.6
2018-01-01,19:00:00,1278.4075
2018-01-01,19:15:00,1268.2368
2018-01-01,19:30:00,1258.5711
2018-01-01,19:45:00,1262.4596
2018-01-01,20:00:00,1251.4203
2018-01-01,20:15:00,1229.8972
2018-01-01,20:30:00,1216.9995
2018-01-01,20:45:00,1203.0716
2018-01-01,21:00:00,1178.0236
2018-01-01,21:15:00,1174.3068
2018-01-01,21:30:00,1143.4816
2018-01-01,21:45:00,1100.496
2018-01-01,22:00:00,1071.6504
2018-01-01,22:15:00,1034.2097
2018-01-01,22:30:00,1005.3105699999999
2018-01-01,22:45:00,953.7500699999999
2018-01-01,23:00:00,909.08383
2018-01-01,23:15:00,877.21833
2018-01-01,23:30:00,820.95527
2018-01-01,23:45:00,780.9148299999999
2018-01-02,00:00:00,746.22537
2018-01-02,00:15:00,720.78953
2018-01-02,00:30:00,698.15543
2018-01-02,00:45:00,680.24207
2018-01-02,01:00:00,658.96137
2018-01-02,01:15:00,645.07387
2018-01-02,01:30:00,639.633
2018-01-02,01:45:00,631.4823
2018-01-02,02:00:00,625.60107
2018-01-02,02:15:00,616.3828
2018-01-02,02:30:00,610.86517
2018-01-02,02:45:00,607.1615
2018-01-02,03:00:00,606.6969
2018-01-02,03:15:00,609.15423
2018-01-02,03:30:00,612.7266
2018-01-02,03:45:00,609.73397
2018-01-02,04:00:00,627.26757
2018-01-02,04:15:00,629.1825299999999
2018-01-02,04:30:00,652.46707
2018-01-02,04:45:00,673.8043299999999
2018-01-02,05:00:00,711.0501
2018-01-02,05:15:00,761.3147700000001
